Player,Role,Weapon1,Weapon2,ArmourWeight,Heartrune,Guest,Discord
4077,dps,bow,rapier,light,fire_storm,false,trueskill_
Boushi,healer,life_staff,rapier,light,stoneform,false,systk
Boxxy,dps,great_axe,ice_gauntlet,medium,detonate,false,devonik
Bsixsixsix,mage,fire_staff,blunderbuss,light,cannon_blast,false,blackstone4685
Bull ChiiWii,healer,life_staff,rapier,light,detonate,false,bully.
CRAVENFALL3,healer,life_staff,void_gauntlet,light,stoneform,false,craven.
CantKillMe,healer,life_staff,hatchet,light,stoneform,false,flu3620
Chiko Roll,healer,life_staff,rapier,light,stoneform,false,trowellj
Chrollo,dps,war_hammer,great_axe,medium,detonate,false,shadowmonarch100_
Ciestra,healer,life_staff,void_gauntlet,light,stoneform,false,ciestra
Clarky,dps,bow,void_gauntlet,light,cannon_blast,false,clarky1
Clifty,healer,life_staff,void_gauntlet,light,cannon_blast,false,clifty79
Cowa,dps,great_axe,war_hammer,medium,detonate,false,cowabunger_
DeJaY The Legen,dps,great_axe,war_hammer,medium,stoneform,false,djayfhadz
DeeeeJa,dps,war_hammer,great_axe,medium,cannon_blast,false,djdiana
Demara,mage,fire_staff,ice_gauntlet,medium,fire_storm,false,rhys9258
Driger,mage,ice_gauntlet,void_gauntlet,medium,grasping_vines,false,princedriger
Dwe,dps,fire_staff,rapier,light,dark_ascent,false,bigbeansum
ElrondMD1,dps,void_gauntlet,ice_gauntlet,medium,cannon_blast,false,elrondmd
Etvici,dps,spear,sword_and_shield,light,detonate,false,vici_
FairDinkum,mage,ice_gauntlet,void_gauntlet,medium,bile_bomb,false,fairdinkum4171
FrostyEvolved,dps,great_axe,war_hammer,medium,detonate,false,frostyevolved
Gavi,dps,great_axe,war_hammer,heavy,detonate,false,mrphillyy
Hamlard,mage,ice_gauntlet,void_gauntlet,heavy,grasping_vines,false,robertoham
Huckkery,dps,great_axe,war_hammer,medium,detonate,false,huckkery
IDKheal,dps,bow,rapier,light,stoneform,false,nikozer4
Iexa,tank,great_axe,war_hammer,medium,detonate,false,flavourful_
Ihongaro,mage,void_gauntlet,ice_gauntlet,heavy,grasping_vines,false,almaperdido
Ishka,dps,great_axe,great_sword,heavy,detonate,false,509721
Itachi,healer,life_staff,rapier,light,stoneform,false,itachi2247
JaoYuno,mage,ice_gauntlet,void_gauntlet,light,grasping_vines,false,djao_ma
Jarrow,dps,rapier,blunderbuss,light,stoneform,false,spackjarr0w
Jorgo,tank,sword_and_shield,flail_and_shield,heavy,grasping_vines,false,mr94
Kent,tank,sword_and_shield,war_hammer,heavy,grasping_vines,false,xnerdkent
Klepter,dps,war_hammer,great_axe,medium,detonate,false,crypt.keeper.
Kraken Battler,dps,great_axe,war_hammer,heavy,detonate,false,theaussiebattler
Kraul,dps,fire_staff,void_gauntlet,light,cannon_blast,false,austrike
LWiFi,dps,sword_and_shield,hatchet,medium,grasping_vines,false,liquid
Mordekai,mage,fire_staff,ice_gauntlet,medium,fire_storm,false,mordekai0130
Mued'Die,dps,great_axe,war_hammer,medium,detonate,false,eddie5072
NPCShally,dps,bow,spear,light,cannon_blast,false,shillyshalliest
Nafe,dps,spear,hatchet,light,detonate,false,nafezilla
OneAndOnlyCAZ,tank,sword_and_shield,war_hammer,heavy,grasping_vines,false,c.a.z
OneStowie,dps,blunderbuss,void_gauntlet,light,grasping_vines,false,stowie16
Patrixboi,tank,great_axe,war_hammer,medium,detonate,false,bo._.bro
Perrie,dps,hatchet,bow,light,bile_bomb,false,perrie99
Pixld31,dps,sword_and_shield,spear,medium,stoneform,false,pixld31
Pyrolust,mage,fire_staff,ice_gauntlet,light,detonate,false,xav0001
Quantum,dps,sword_and_shield,hatchet,light,stoneform,false,quantum_________
R4ng3rSp3c,dps,bow,rapier,light,grasping_vines,false,c0c07576
Raele,mage,void_gauntlet,ice_gauntlet,heavy,grasping_vines,false,1grim1
Ramno,dps,ice_gauntlet,void_gauntlet,medium,stoneform,true,hellofriendd
Raw,tank,great_axe,war_hammer,heavy,stoneform,false,warsight
Rayzed0224,mage,void_gauntlet,ice_gauntlet,medium,dark_ascent,false,rayzed_
Sky Waker,healer,life_staff,rapier,light,stoneform,false,vot
Slem,tank,sword_and_shield,flail_and_shield,heavy,stoneform,false,salemau
Sorren,dps,great_sword,hatchet,medium,detonate,false,ofkadio
Spineblight,healer,life_staff,void_gauntlet,light,stoneform,false,chops1803
Squiggles,dps,fire_staff,void_gauntlet,medium,stoneform,false,mrssquiggles
Tazzles,dps,great_axe,war_hammer,medium,detonate,false,tazih3ro
TimmieNg,dps,great_axe,war_hammer,heavy,detonate,false,chutigx
Tinyskibidiman,dps,hatchet,spear,medium,dark_ascent,false,tinyleafman
Toastieeey,mage,void_gauntlet,ice_gauntlet,medium,stoneform,false,toastieey
TripBradley,dps,musket,rapier,light,stoneform,false,tripbradley
Tyr,dps,void_gauntlet,ice_gauntlet,medium,bile_bomb,false,tyr_____
U Can Dream,healer,life_staff,rapier,light,grasping_vines,false,ucandream
Valkorum,dps,great_axe,war_hammer,medium,detonate,false,valkorum
Vepar,dps,great_axe,war_hammer,heavy,detonate,false,vepar2
WenWen,dps,great_axe,fire_staff,light,fire_storm,false,wenwen0906
WrangerKhunt,dps,musket,rapier,light,cannon_blast,false,invisionz
XandriasDePrimo,dps,sword_and_shield,spear,medium,cannon_blast,false,xandriass
Yeah Nah,mage,fire_staff,ice_gauntlet,light,grasping_vines,false,.jimmy_
Zorushe,dps,great_axe,ice_gauntlet,medium,detonate,false,zorushi
aetherziel,healer,life_staff,void_gauntlet,light,stoneform,false,enderziel
babygirl thorpe,healer,life_staff,void_gauntlet,light,cannon_blast,false,_vaelkyrie_
bringa,dps,blunderbuss,void_gauntlet,light,cannon_blast,false,bringatome
btown,healer,life_staff,rapier,light,stoneform,false,badtown
chamzzii,dps,rapier,fire_staff,light,stoneform,false,chamzzii
cuddles,dps,great_sword,great_axe,medium,detonate,false,wannacuddle
dNx,mage,ice_gauntlet,void_gauntlet,medium,grasping_vines,false,blxcklistxd
daffer,dps,bow,rapier,light,grasping_vines,false,dafferr
expression,healer,life_staff,flail_and_shield,medium,stoneform,true,bronzesenpai
itchyvan,dps,bow,musket,light,cannon_blast,false,itchyvan
kerchak,healer,life_staff,rapier,light,stoneform,false,larry9265
normandy,tank,great_axe,sword_and_shield,medium,detonate,false,scotty03151
orion,tank,sword_and_shield,war_hammer,heavy,dark_ascent,false,froof_
pockets,tank,sword_and_shield,war_hammer,heavy,stoneform,false,pockets7257
power1,dps,musket,void_gauntlet,light,cannon_blast,false,finnyjstylish
siyah insanlar,dps,fire_staff,ice_gauntlet,light,stoneform,false,nebula_r
thebigmac01,healer,life_staff,flail_and_shield,light,stoneform,false,thebigmac6665
